Customer ID,Age,Item Purchased,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Gender_Female,Category_Accessories,Category_Clothing,Category_Footwear,Category_Outerwear,Item Purchased_encoded,Location_encoded,Size_encoded,Color_encoded,Season_encoded,Subscription Status_encoded,Payment Method_encoded,Shipping Type_encoded,Discount Applied_encoded,Frequency of Purchases_encoded
30,0.25,Dress,0.3500000000000001,Wyoming,S,Black,Fall,0.6399999999999999,Yes,Store Pickup,Yes,Yes,0.26530612244897955,Credit Card,Weekly,0,0,1,0,0,5,49,2,1,0,1,2,5,1,6
31,0.7500000000000001,Jewelry,0.1375,North Carolina,L,Black,Winter,0.8800000000000001,Yes,Standard,Yes,Yes,0.3061224489795918,Credit Card,Monthly,0,1,0,0,0,12,32,0,1,3,1,2,4,1,4
32,0.28846153846153855,Dress,0.7375,West Virginia,L,Brown,Winter,0.8800000000000001,Yes,Store Pickup,Yes,Yes,0.8979591836734693,Venmo,Monthly,0,0,1,0,0,5,47,0,3,3,1,5,5,1,4
33,0.34615384615384615,Jacket,0.5875,Kansas,M,Silver,Summer,0.9600000000000002,Yes,Free Shipping,Yes,Yes,0.7346938775510203,Venmo,Annually,0,0,0,0,1,10,15,1,19,2,1,5,2,1,0
34,0.6923076923076924,Pants,0.22500000000000003,Colorado,L,Green,Summer,0.32000000000000006,Yes,Store Pickup,Yes,Yes,0.8979591836734693,Cash,Quarterly,0,0,1,0,0,13,5,0,8,2,1,1,5,1,5
35,0.34615384615384615,T-shirt,0.8875,North Dakota,L,Violet,Spring,0.8399999999999999,Yes,2-Day Shipping,Yes,Yes,0.7551020408163265,PayPal,Quarterly,0,0,1,0,0,24,33,0,22,1,1,4,0,1,5
36,0.6923076923076924,Blouse,0.16250000000000003,Massachusetts,M,Cyan,Summer,0.6000000000000001,Yes,2-Day Shipping,Yes,Yes,0.9591836734693877,Credit Card,Bi-Weekly,0,0,1,0,0,2,20,1,5,2,1,2,0,1,1
37,0.326923076923077,T-shirt,0.6125,Illinois,M,Maroon,Winter,0.8399999999999999,Yes,Free Shipping,Yes,Yes,0.8775510204081631,PayPal,Fortnightly,0,0,1,0,0,24,12,1,12,3,1,4,2,1,3
38,0.326923076923077,Jeans,0.3125,Indiana,S,Cyan,Summer,0.11999999999999988,Yes,Store Pickup,Yes,Yes,0.18367346938775508,PayPal,Weekly,0,0,1,0,0,11,13,2,5,2,1,4,5,1,6
39,0.21153846153846156,Dress,0.21250000000000002,Florida,M,Red,Winter,0.4800000000000002,Yes,2-Day Shipping,Yes,Yes,0.8775510204081631,Venmo,Every 3 Months,0,0,1,0,0,5,8,1,18,3,1,5,0,1,2
40,1.0,Pants,0.5,Arizona,S,Turquoise,Summer,0.6800000000000002,Yes,Express,Yes,Yes,0.346938775510204,Credit Card,Monthly,0,0,1,0,0,13,2,2,21,2,1,2,1,1,4
41,0.980769230769231,Handbag,0.7000000000000001,Louisiana,L,Beige,Winter,0.8399999999999999,Yes,Next Day Air,Yes,Yes,0.6122448979591836,Debit Card,Quarterly,0,1,0,0,0,7,17,0,0,3,1,3,3,1,5
42,0.9423076923076924,Scarf,0.23750000000000004,Alaska,M,Orange,Spring,0.8,Yes,Standard,Yes,Yes,0.7959183673469387,Venmo,Annually,0,1,0,0,0,15,1,1,14,1,1,5,4,1,0
43,0.03846153846153849,Coat,1.0,Tennessee,M,Beige,Spring,0.6399999999999999,Yes,Free Shipping,Yes,Yes,0.28571428571428564,PayPal,Annually,0,0,0,0,1,4,41,1,0,1,1,4,2,1,0
44,0.13461538461538464,Scarf,0.6125,Ohio,L,Lavender,Fall,0.4800000000000002,Yes,Store Pickup,Yes,Yes,0.36734693877551017,PayPal,Fortnightly,0,1,0,0,0,15,34,0,10,0,1,4,5,1,3
45,0.40384615384615385,Hat,0.4125000000000001,Kentucky,S,Silver,Summer,0.8399999999999999,Yes,Free Shipping,Yes,Yes,0.8979591836734693,PayPal,Weekly,0,1,0,0,0,8,16,2,19,2,1,4,2,1,6
46,0.6153846153846154,Socks,0.012500000000000011,Tennessee,XL,Indigo,Fall,0.15999999999999992,Yes,2-Day Shipping,Yes,Yes,0.4897959183673469,PayPal,Annually,0,0,1,0,0,21,41,3,9,0,1,4,0,1,0
47,0.7500000000000001,Shirt,0.2875,California,L,White,Summer,0.15999999999999992,Yes,Store Pickup,Yes,Yes,0.8979591836734693,Cash,Quarterly,0,0,1,0,0,16,4,0,23,2,1,1,5,1,5
48,0.7115384615384616,Jewelry,0.42500000000000004,Montana,M,Charcoal,Winter,0.8,Yes,Free Shipping,Yes,Yes,0.7142857142857142,Cash,Weekly,0,1,0,0,0,12,25,1,4,3,1,1,2,1,6
49,0.46153846153846156,Shirt,0.4375,Nevada,M,Orange,Summer,0.08000000000000007,Yes,Store Pickup,Yes,Yes,0.7551020408163265,Cash,Monthly,0,0,1,0,0,16,27,1,14,2,1,1,5,1,4
50,0.9615384615384616,Hoodie,0.125,New Jersey,S,Indigo,Spring,0.8399999999999999,Yes,Next Day Air,Yes,Yes,0.673469387755102,Debit Card,Bi-Weekly,0,0,1,0,0,9,29,2,9,1,1,3,3,1,1
51,0.5961538461538463,Blouse,0.10000000000000003,Maryland,M,Red,Spring,0.4800000000000002,Yes,Store Pickup,Yes,Yes,0.7755102040816325,Debit Card,Bi-Weekly,0,0,1,0,0,2,19,1,18,1,1,3,5,1,1
52,0.7884615384615384,Skirt,0.48750000000000004,Vermont,XL,Gray,Winter,0.8800000000000001,Yes,2-Day Shipping,Yes,Yes,0.12244897959183673,Credit Card,Quarterly,0,0,1,0,0,19,44,3,7,3,1,2,0,1,5
53,0.46153846153846156,T-shirt,0.0,Alaska,M,Green,Summer,0.040000000000000036,Yes,Free Shipping,Yes,Yes,0.510204081632653,Credit Card,Weekly,0,0,1,0,0,24,1,1,8,2,1,2,2,1,6
54,0.21153846153846156,Skirt,0.050000000000000044,Mississippi,S,Peach,Winter,0.56,Yes,Next Day Air,Yes,Yes,0.693877551020408,Credit Card,Weekly,0,0,1,0,0,19,23,2,15,3,1,2,3,1,6
55,0.5576923076923077,Coat,0.925,New Mexico,M,Brown,Summer,0.6800000000000002,Yes,Next Day Air,Yes,Yes,0.693877551020408,Debit Card,Bi-Weekly,0,0,0,0,1,4,30,1,3,2,1,3,3,1,1
56,0.42307692307692313,Jacket,0.10000000000000003,South Carolina,M,Lavender,Winter,0.20000000000000018,Yes,2-Day Shipping,Yes,Yes,0.9795918367346937,Credit Card,Annually,0,0,0,0,1,10,39,1,10,3,1,2,0,1,0
57,0.4423076923076924,Backpack,0.6625000000000001,Mississippi,XL,Brown,Summer,0.8800000000000001,Yes,Store Pickup,Yes,Yes,0.9183673469387754,Credit Card,Weekly,0,1,0,0,0,0,23,3,3,2,1,2,5,1,6
58,0.05769230769230771,Coat,0.55,West Virginia,M,White,Summer,0.7600000000000002,Yes,Store Pickup,Yes,Yes,0.32653061224489793,Debit Card,Fortnightly,0,0,0,0,1,4,47,1,23,2,1,3,5,1,3
59,0.980769230769231,Hoodie,0.42500000000000004,Missouri,M,Charcoal,Summer,0.6800000000000002,Yes,Free Shipping,Yes,Yes,0.5714285714285714,Venmo,Monthly,0,0,1,0,0,9,24,1,4,2,1,5,2,1,4
60,0.8653846153846155,Belt,0.7375,Louisiana,L,Yellow,Spring,0.8399999999999999,Yes,Standard,Yes,Yes,0.061224489795918366,Debit Card,Weekly,0,1,0,0,0,1,17,0,24,1,1,3,4,1,6
61,0.6153846153846154,Sweater,0.21250000000000002,Idaho,L,Brown,Summer,0.6000000000000001,Yes,Express,Yes,Yes,0.32653061224489793,Cash,Weekly,0,0,1,0,0,23,11,0,3,2,1,1,1,1,6
62,0.7115384615384616,Scarf,0.6000000000000001,Texas,M,Orange,Winter,0.8800000000000001,Yes,Store Pickup,Yes,Yes,0.4081632653061224,Credit Card,Every 3 Months,0,1,0,0,0,15,42,1,14,3,1,2,5,1,2
63,0.23076923076923084,Sneakers,0.012500000000000011,Mississippi,S,Magenta,Spring,0.52,Yes,Free Shipping,Yes,Yes,0.6122448979591836,Credit Card,Fortnightly,0,0,0,1,0,20,23,2,11,1,1,2,2,1,3
64,0.28846153846153855,Sunglasses,0.7375,Arizona,L,Lavender,Winter,0.08000000000000007,Yes,2-Day Shipping,Yes,Yes,0.8571428571428571,Credit Card,Weekly,0,1,0,0,0,22,2,0,10,3,1,2,0,1,6
65,0.9038461538461539,Boots,0.7875000000000001,Alabama,S,Green,Fall,0.9199999999999999,Yes,Standard,Yes,Yes,0.346938775510204,Debit Card,Fortnightly,0,0,0,1,0,3,0,2,8,0,1,3,4,1,3
66,0.9038461538461539,Backpack,0.2,New Jersey,M,Purple,Spring,0.9199999999999999,Yes,2-Day Shipping,Yes,Yes,0.8775510204081631,Venmo,Every 3 Months,0,1,0,0,0,0,29,1,17,1,1,5,0,1,2
67,0.25,Blouse,0.925,Pennsylvania,S,Magenta,Winter,0.8800000000000001,Yes,2-Day Shipping,Yes,Yes,0.04081632653061225,Venmo,Every 3 Months,0,0,1,0,0,2,37,2,11,3,1,5,0,1,2
68,0.5192307692307693,Coat,0.16250000000000003,Connecticut,L,Gray,Winter,0.7600000000000002,Yes,Store Pickup,Yes,Yes,0.9795918367346937,Debit Card,Monthly,0,0,0,0,1,4,6,0,7,3,1,3,5,1,4
69,0.7500000000000001,Handbag,0.32500000000000007,Utah,L,Silver,Summer,0.56,Yes,Next Day Air,Yes,Yes,0.4081632653061224,Cash,Every 3 Months,0,1,0,0,0,7,43,0,19,2,1,1,3,1,2
70,0.576923076923077,Belt,0.625,Tennessee,S,Cyan,Summer,0.7600000000000002,Yes,Express,Yes,Yes,0.08163265306122448,Cash,Weekly,0,1,0,0,0,1,41,2,5,2,1,1,1,1,6
71,0.07692307692307698,Belt,0.11250000000000004,Alabama,M,Magenta,Fall,0.6800000000000002,Yes,Express,Yes,Yes,0.6326530612244897,Debit Card,Every 3 Months,0,1,0,0,0,1,0,1,11,0,1,3,1,1,2
72,0.34615384615384615,Dress,0.3500000000000001,Virginia,L,Gold,Summer,0.15999999999999992,Yes,Express,Yes,Yes,0.673469387755102,Bank Transfer,Annually,0,0,1,0,0,5,45,0,6,2,1,0,1,1,0
73,0.0,Dress,0.07500000000000001,Georgia,M,Olive,Winter,0.15999999999999992,Yes,Store Pickup,Yes,Yes,0.4081632653061224,Bank Transfer,Every 3 Months,0,0,1,0,0,5,9,1,13,3,1,0,5,1,2
74,0.576923076923077,Pants,0.8125,Hawaii,M,Teal,Spring,0.08000000000000007,Yes,Free Shipping,Yes,Yes,0.8571428571428571,Bank Transfer,Bi-Weekly,0,0,1,0,0,13,10,1,20,1,1,0,2,1,1
75,0.5961538461538463,Gloves,0.4750000000000001,Indiana,L,Violet,Spring,0.8,Yes,Express,Yes,Yes,0.04081632653061225,Cash,Monthly,0,1,0,0,0,6,13,0,22,1,1,1,1,1,4
76,0.8846153846153847,Scarf,0.8125,Utah,M,Blue,Summer,0.08000000000000007,Yes,Free Shipping,Yes,Yes,0.4081632653061224,Credit Card,Annually,0,1,0,0,0,15,43,1,2,2,1,2,2,1,0
77,0.6153846153846154,Hat,0.2875,Delaware,S,Teal,Summer,0.6800000000000002,Yes,Free Shipping,Yes,Yes,0.6326530612244897,Venmo,Monthly,0,1,0,0,0,8,7,2,20,2,1,5,2,1,4
78,0.07692307692307698,Dress,0.4125000000000001,Delaware,L,Gold,Summer,0.32000000000000006,Yes,Next Day Air,Yes,Yes,0.7142857142857142,Debit Card,Fortnightly,0,0,1,0,0,5,7,0,6,2,1,3,3,1,3
79,0.6153846153846154,Skirt,0.8875,Nebraska,M,Maroon,Spring,0.8800000000000001,Yes,Free Shipping,Yes,Yes,1.0,Venmo,Fortnightly,0,0,1,0,0,19,26,1,12,1,1,5,2,1,3
80,0.3846153846153847,Jacket,0.9500000000000002,Iowa,M,Olive,Winter,0.040000000000000036,Yes,2-Day Shipping,Yes,Yes,0.8571428571428571,Bank Transfer,Every 3 Months,0,0,0,0,1,10,14,1,13,3,1,0,0,1,2
81,0.019230769230769273,Sandals,0.65,New York,XL,Blue,Summer,0.32000000000000006,Yes,Store Pickup,Yes,Yes,0.4693877551020408,Credit Card,Every 3 Months,0,0,0,1,0,14,31,3,2,2,1,2,5,1,2
82,0.9423076923076924,Shoes,0.9500000000000002,Virginia,L,Maroon,Summer,0.040000000000000036,Yes,Express,Yes,Yes,0.7142857142857142,Credit Card,Every 3 Months,0,0,0,1,0,17,45,0,12,2,1,2,1,1,2
83,0.019230769230769273,Pants,0.10000000000000003,Georgia,S,Olive,Spring,0.6000000000000001,Yes,2-Day Shipping,Yes,Yes,0.4081632653061224,Credit Card,Every 3 Months,0,0,1,0,0,13,9,2,13,1,1,2,0,1,2
84,0.34615384615384615,Dress,0.25,Texas,M,Turquoise,Summer,0.6399999999999999,Yes,Standard,Yes,Yes,0.673469387755102,Bank Transfer,Weekly,0,0,1,0,0,5,42,1,21,2,1,0,4,1,6
85,0.6538461538461539,Coat,0.15000000000000002,Arizona,S,Peach,Spring,0.7600000000000002,Yes,Standard,Yes,Yes,0.836734693877551,Bank Transfer,Every 3 Months,0,0,0,0,1,4,2,2,15,1,1,0,4,1,2
86,0.6730769230769232,Sunglasses,0.9375,New Mexico,M,Charcoal,Winter,0.8,Yes,Next Day Air,Yes,Yes,0.02040816326530612,Debit Card,Bi-Weekly,0,1,0,0,0,22,30,1,4,3,1,3,3,1,1
87,0.11538461538461542,Hoodie,0.26250000000000007,Nevada,L,Pink,Spring,0.4800000000000002,Yes,2-Day Shipping,Yes,Yes,0.9387755102040816,Cash,Bi-Weekly,0,0,1,0,0,9,27,0,16,1,1,1,0,1,1
88,0.6538461538461539,Shoes,0.4125000000000001,Ohio,M,Green,Fall,0.4800000000000002,Yes,2-Day Shipping,Yes,Yes,0.8775510204081631,Debit Card,Fortnightly,0,0,0,1,0,17,34,1,8,0,1,3,0,1,3
89,0.28846153846153855,T-shirt,0.3375,Wyoming,M,Orange,Fall,0.40000000000000013,Yes,Free Shipping,Yes,Yes,0.693877551020408,Credit Card,Monthly,0,0,1,0,0,24,49,1,14,0,1,2,2,1,4
90,0.5576923076923077,Jacket,0.7875000000000001,California,XL,Pink,Fall,0.44000000000000017,Yes,Next Day Air,Yes,Yes,0.28571428571428564,Cash,Quarterly,0,0,0,0,1,10,4,3,16,0,1,1,3,1,5
91,0.13461538461538464,Hat,0.3500000000000001,South Carolina,L,Violet,Summer,0.15999999999999992,Yes,Express,Yes,Yes,0.5714285714285714,Credit Card,Monthly,0,1,0,0,0,8,39,0,22,2,1,2,1,1,4
92,0.5000000000000001,Scarf,0.9875,South Carolina,S,Green,Winter,0.8399999999999999,Yes,Standard,Yes,Yes,0.346938775510204,Credit Card,Every 3 Months,0,1,0,0,0,15,39,2,8,3,1,2,4,1,2
93,0.826923076923077,Jacket,0.8375000000000001,Texas,M,Olive,Winter,0.7600000000000002,Yes,2-Day Shipping,Yes,Yes,0.24489795918367344,Venmo,Every 3 Months,0,0,0,0,1,10,42,1,13,3,1,5,0,1,2
94,0.3653846153846154,Sweater,0.525,Florida,M,Purple,Fall,0.8,Yes,Standard,Yes,Yes,0.9183673469387754,Credit Card,Weekly,0,0,1,0,0,23,8,1,17,0,1,2,4,1,6
95,0.7692307692307693,Skirt,0.7000000000000001,Nevada,S,Silver,Spring,0.8399999999999999,Yes,Free Shipping,Yes,Yes,0.5510204081632653,Credit Card,Weekly,0,0,1,0,0,19,27,2,19,1,1,2,2,1,6
96,0.3653846153846154,Sneakers,1.0,Missouri,L,Pink,Fall,0.52,Yes,Free Shipping,Yes,Yes,0.9591836734693877,PayPal,Monthly,0,0,0,1,0,20,24,0,16,0,1,4,2,1,4
97,0.2692307692307693,Gloves,0.6625000000000001,Delaware,S,Gold,Spring,0.44000000000000017,Yes,Express,Yes,Yes,0.8571428571428571,Venmo,Every 3 Months,0,1,0,0,0,6,7,2,6,1,1,5,1,1,2
98,0.05769230769230771,Shoes,0.9000000000000001,Virginia,M,Teal,Winter,0.9199999999999999,Yes,Store Pickup,Yes,Yes,0.7346938775510203,Cash,Annually,0,0,0,1,0,17,45,1,20,3,1,1,5,1,0
99,0.03846153846153849,Jeans,0.5875,New York,XL,Teal,Spring,0.040000000000000036,Yes,Next Day Air,Yes,Yes,0.38775510204081626,Bank Transfer,Annually,0,0,1,0,0,11,31,3,20,1,1,0,3,1,0
100,0.15384615384615385,Hoodie,0.25,Missouri,XL,Indigo,Summer,0.4800000000000002,Yes,Express,Yes,Yes,0.6530612244897959,Debit Card,Quarterly,0,0,1,0,0,9,24,3,9,2,1,3,1,1,5
101,0.8461538461538461,Sunglasses,0.9750000000000001,South Dakota,M,Maroon,Fall,0.08000000000000007,Yes,Express,Yes,Yes,0.6122448979591836,Cash,Fortnightly,0,1,0,0,0,22,40,1,12,0,1,1,1,1,3
102,0.17307692307692313,Coat,0.8125,North Dakota,XL,White,Spring,0.8399999999999999,Yes,Express,Yes,Yes,1.0,Credit Card,Bi-Weekly,0,0,0,0,1,4,33,3,23,1,1,2,1,1,1
103,0.6346153846153847,Socks,0.5875,Oklahoma,L,Violet,Winter,0.9199999999999999,Yes,Next Day Air,Yes,Yes,0.693877551020408,Credit Card,Quarterly,0,0,1,0,0,21,35,0,22,3,1,2,3,1,5
104,0.6923076923076924,Boots,0.8625,West Virginia,L,Red,Winter,0.6000000000000001,Yes,Next Day Air,Yes,Yes,0.4285714285714285,Venmo,Bi-Weekly,0,0,0,1,0,3,47,0,18,3,1,5,3,1,1
105,0.7115384615384616,Sunglasses,0.050000000000000044,New Hampshire,L,Pink,Spring,0.7600000000000002,Yes,2-Day Shipping,Yes,Yes,0.0,PayPal,Monthly,0,1,0,0,0,22,28,0,16,1,1,4,0,1,4
106,0.980769230769231,Backpack,0.9500000000000002,New York,M,Charcoal,Fall,0.44000000000000017,Yes,Next Day Air,Yes,Yes,0.061224489795918366,Bank Transfer,Annually,0,1,0,0,0,0,31,1,4,0,1,0,3,1,0
107,0.8846153846153847,Jacket,0.1875,Minnesota,L,White,Summer,0.4800000000000002,Yes,Standard,Yes,Yes,0.6122448979591836,Credit Card,Monthly,0,0,0,0,1,10,22,0,23,2,1,2,4,1,4
108,0.1923076923076924,Sneakers,0.5875,Maryland,L,Olive,Winter,0.2400000000000002,Yes,Next Day Air,Yes,Yes,0.9183673469387754,PayPal,Fortnightly,0,0,0,1,0,20,19,0,13,3,1,4,3,1,3
109,1.0,Socks,0.7375,Montana,L,Purple,Spring,0.3600000000000001,Yes,Next Day Air,Yes,Yes,0.6326530612244897,Bank Transfer,Bi-Weekly,0,0,1,0,0,21,25,0,17,1,1,0,3,1,1
110,0.7692307692307693,T-shirt,0.8125,Alabama,M,Violet,Spring,0.040000000000000036,Yes,Next Day Air,Yes,Yes,0.8571428571428571,Bank Transfer,Fortnightly,0,0,1,0,0,24,0,1,22,1,1,0,3,1,3
111,0.730769230769231,Backpack,0.07500000000000001,New York,M,Black,Summer,0.6000000000000001,Yes,Standard,Yes,Yes,0.510204081632653,Venmo,Fortnightly,0,1,0,0,0,0,31,1,1,2,1,5,4,1,3
112,0.15384615384615385,Belt,0.6875,Massachusetts,L,Purple,Summer,1.0,Yes,Free Shipping,Yes,Yes,0.16326530612244897,Credit Card,Annually,0,1,0,0,0,1,20,0,17,2,1,2,2,1,0
113,0.3653846153846154,Gloves,0.5625,Florida,M,Red,Spring,0.72,Yes,Free Shipping,Yes,Yes,0.5510204081632653,PayPal,Bi-Weekly,0,1,0,0,0,6,8,1,18,1,1,4,2,1,1
114,0.5000000000000001,Hat,0.42500000000000004,New Jersey,L,Maroon,Winter,0.2400000000000002,Yes,Next Day Air,Yes,Yes,0.38775510204081626,PayPal,Quarterly,0,1,0,0,0,8,29,0,12,3,1,4,3,1,5
115,1.0,Coat,0.9375,Massachusetts,S,Blue,Summer,0.4800000000000002,Yes,Store Pickup,Yes,Yes,0.16326530612244897,Cash,Weekly,0,0,0,0,1,4,20,2,2,2,1,1,5,1,6
116,0.6730769230769232,Skirt,0.925,Wyoming,M,Gray,Spring,0.52,Yes,Standard,Yes,Yes,0.9591836734693877,Debit Card,Every 3 Months,0,0,1,0,0,19,49,1,7,1,1,3,4,1,2
117,0.7115384615384616,Shoes,0.825,Virginia,S,Blue,Spring,0.3600000000000001,Yes,Free Shipping,Yes,Yes,0.22448979591836735,Venmo,Annually,0,0,0,1,0,17,45,2,2,1,1,5,2,1,0
